entity_id,transport_term,category,related_places,doc_id,page_number,context_snippet,confidence
transport_41bea98b5280ce,交通,general_transport,,swhgz_8ac060901a96,13,"338 . .. . .. . ., . ., . .. '"" . . . .,. …….338 第九卷 交通邮电……. • • • • , • • . • • • . . • • • • • . • • . • . •",high
transport_da561d46793c7b,交通,general_transport,,swhgz_8ac060901a96,13,"• …354 .,. ... .,. ... ... •.. ... .,. .,. …354 第-章交通运输………. I I • 1. II……. """" '""' .., """" •.. ... ... ""'289",high
transport_95ab94dfe7c262,码头,waterway,吴江县;吴江,swhgz_8ac060901a96,16,"名士奉 为上宾，也可见其气度之宏、魄力之大了。盛泽的这一特点之形成 有着如下两个原因z 一是商业之利使其成了活码头，""富商大贾荤 万金来买者摩肩连抉""(乾隆《吴江县志ìì );二是盛泽人本身富有开 拓精神。清道光后，繁荣称东",high
transport_73facb629bb8a1,码头,waterway,吴江县;上海;苏州;吴江,swhgz_8ac060901a96,16,"乾隆《吴江县志ìì );二是盛泽人本身富有开 拓精神。清道光后，繁荣称东南之首的苏州闰门内水关就辟有""盛 i手码头""z 光绪年间，又到上海建立盛怪公所g 盛泽的绸庄伸到了← 天津、汉口、景德镇、破石、杭州等地。近年来p 盛泽",high
transport_4a67634f38fcb4,运河,waterway,吴江县;吴江,swhgz_8ac060901a96,17,庙、诗文、快事，在道光中修 成《舜湖i己略>>1岳卷，为抄本，书法精美，今存6 卷。 盛泽乡北部的黄溪村，原为运河畔的小镇。黄溪人钱挥，奉命 篡吴江县志，未戚，遂整理有美黄攘的资料，编成《黄溪志)) ，为 道光十一年(183,high
transport_2cfd67bba6c417,码头,waterway,苏州,swhgz_8ac060901a96,20,(1849)大水，tJl 民死者无数。道光年间，王致望修成《舜湖 记略)) ，周叔斗等结红梨诗社，苏州阁门盛泽码头开辟。 咸丰十年(1860) 四月二十六、二十七日，黄溪、新杭两市在太 平军与清军激战中被毁。七月，太平军进驻,high
transport_9a6ea625515376,码头,waterway,上海;苏州,swhgz_8ac060901a96,20,1878)，米业公所建立。九年(1883) ，洪养和堂(中 药铺)开设。十三年(1887) ，苏州间门内的盛泽码头恢复。十五年 (1889) ，盛泽、王江泾绸商在上海合建盛泾公所。二十二年(1896) ， 天成钱兑号开业。二,high
transport_81b26d59cec3f2,公路,road,,swhgz_8ac060901a96,22,国21 年(1932) 8 月 1 日，((盛泽医药报》创刊。 民国22 年(1933) 9 月 2 日，苏嘉公路通车至盛。12 月10 日， 盛泽至嘉兴通车。 民国23 年(1 934) ，夏大旱，黄梅不雨，秋遭螺虫害，收,high
transport_0fd6b3a970df24,铁路,rail,江苏;吴江,swhgz_8ac060901a96,22,6) 2 月7 日，领投业合作组织一一集成总部开 业。3 月5 日，大谢乡运销合作社成立。7 月15 日，苏嘉铁路通车。 民国26 年(1937) 4 月，定北伐军抵达盛泽日二月二十七日为 盛泽节。5 月，江苏文艺协会吴江分,high
transport_057be9de97d767,铁路,rail,,swhgz_8ac060901a96,22,。 民国27 年(1938) ，日本人佐佐木在盛设通运公司，垄断丝绸 运输。11 月29 日，沈立群率部在苏嘉铁路62 号桥附近埋雷炸毁 铁路并与日军激战。 民国28 年(1 939) 3 月 18 日，汪伪国民党第三区党部,high
