entity_id,person_name,role_or_category,dynasty_or_period,doc_id,page_number,context_snippet,confidence
person_b0fab94b6ad33b,储著忠,主任,,swhgz_f4a9a18a5f20,32,学 主编：储昭朗 副主编：吴保印、崔世绪、储著忠 委员：宋祥林、陶康生、汪一江、张德喜、储晓玲 编辑室主任：储著忠（兼） 副主任：汪一江（常务）、张德喜 是月，县委、县政府为加强农村中医工作先进县建设，召开了全县中医工,high
person_868a1eefee67bd,汪一江,副主任,,swhgz_f4a9a18a5f20,32,副主编：吴保印、崔世绪、储著忠 委员：宋祥林、陶康生、汪一江、张德喜、储晓玲 编辑室主任：储著忠（兼） 副主任：汪一江（常务）、张德喜 是月，县委、县政府为加强农村中医工作先进县建设，召开了全县中医工 作专题会议，要求加大实施,high
person_6e84ba8072130e,程玉松,主任,,swhgz_f4a9a18a5f20,40,导小组。 组 长：储诚胜 副组长：李建林 程贤福 成 员：蒋长根 石志才 王学宏 王启佳 程玉松 办公室主任：程玉松（兼） 一九九三年十一月，世界银行农村卫生人力开发项目获批准在岳西县实施，项 目开发正式生效。 一九九五年，,high
person_32e95e57a61125,储昭朗,主任,,swhgz_f4a9a18a5f20,43,敷 储昭朗 同期，为加强项目工作，强化各领域的分工合作，项目领导小组决定增加卫 生Ⅷ项目办公室组成人员： 主 任：储昭朗 副主任：方翠霞 金家明 成 员：宋丰年 赵郁森 汪孟根 李 红 胡建荣 程晓莉 汪为桥 项目实施进展：,high
person_f9d00fe3565d85,方翠霞,副主任,2003,swhgz_f4a9a18a5f20,43,，为加强项目工作，强化各领域的分工合作，项目领导小组决定增加卫 生Ⅷ项目办公室组成人员： 主 任：储昭朗 副主任：方翠霞 金家明 成 员：宋丰年 赵郁森 汪孟根 李 红 胡建荣 程晓莉 汪为桥 项目实施进展：截止2003 年12 月，,high
person_e72a8ef5a8f7c0,金家明,副主任,2003,swhgz_f4a9a18a5f20,43,，为加强项目工作，强化各领域的分工合作，项目领导小组决定增加卫 生Ⅷ项目办公室组成人员： 主 任：储昭朗 副主任：方翠霞 金家明 成 员：宋丰年 赵郁森 汪孟根 李 红 胡建荣 程晓莉 汪为桥 项目实施进展：截止2003 年12 月，,high
person_61f541da7409e2,龙换来,主任,,swhgz_f4a9a18a5f20,77,杨续贵 成 员：王学宏 郑大国 尚 凯 张大春 周民德 汪名和 余克胜 蒋本旺 朱海云 胡应物 办公室主任：龙换来，副主任：吉 辉 二OOO 年，由于各单位人员变动，领导小组及办公室组成人员部分调整。 副组长：林壬寅，刘同柱；办公,high
person_f49c2279c9f70a,陶煜,副主任,1949,swhgz_f4a9a18a5f20,184,特别是在肾病的中西医结合治疗 方面有独到之处。 现任科主任韩礼平，医学本科毕业，内科副主任医师 内科历任正、副主任：陶煜、吴传华、刘志高、彭衍胜、徐万佳、韩礼平、 刘锐锋、刘炉生、汪曙光 外科 1949 年，县医院成立时，医疗条件简陋，没有手术器械，没有专 职的外科医生,high
person_f99e1f0e8722a1,吴传华,副主任,1949,swhgz_f4a9a18a5f20,184,特别是在肾病的中西医结合治疗 方面有独到之处。 现任科主任韩礼平，医学本科毕业，内科副主任医师 内科历任正、副主任：陶煜、吴传华、刘志高、彭衍胜、徐万佳、韩礼平、 刘锐锋、刘炉生、汪曙光 外科 1949 年，县医院成立时，医疗条件简陋，没有手术器械，没有专 职的外科医生,high
person_59d9ebc6516cf8,刘志高,副主任,1949,swhgz_f4a9a18a5f20,184,特别是在肾病的中西医结合治疗 方面有独到之处。 现任科主任韩礼平，医学本科毕业，内科副主任医师 内科历任正、副主任：陶煜、吴传华、刘志高、彭衍胜、徐万佳、韩礼平、 刘锐锋、刘炉生、汪曙光 外科 1949 年，县医院成立时，医疗条件简陋，没有手术器械，没有专 职的外科医生,high
person_549d5ddc953136,彭衍胜,副主任,1949,swhgz_f4a9a18a5f20,184,特别是在肾病的中西医结合治疗 方面有独到之处。 现任科主任韩礼平，医学本科毕业，内科副主任医师 内科历任正、副主任：陶煜、吴传华、刘志高、彭衍胜、徐万佳、韩礼平、 刘锐锋、刘炉生、汪曙光 外科 1949 年，县医院成立时，医疗条件简陋，没有手术器械，没有专 职的外科医生,high
person_767f89834f6f31,徐万佳,副主任,1949,swhgz_f4a9a18a5f20,184,特别是在肾病的中西医结合治疗 方面有独到之处。 现任科主任韩礼平，医学本科毕业，内科副主任医师 内科历任正、副主任：陶煜、吴传华、刘志高、彭衍胜、徐万佳、韩礼平、 刘锐锋、刘炉生、汪曙光 外科 1949 年，县医院成立时，医疗条件简陋，没有手术器械，没有专 职的外科医生,high
person_9de79a183fca28,韩礼平,副主任,1949,swhgz_f4a9a18a5f20,184,特别是在肾病的中西医结合治疗 方面有独到之处。 现任科主任韩礼平，医学本科毕业，内科副主任医师 内科历任正、副主任：陶煜、吴传华、刘志高、彭衍胜、徐万佳、韩礼平、 刘锐锋、刘炉生、汪曙光 外科 1949 年，县医院成立时，医疗条件简陋，没有手术器械，没有专 职的外科医生,high
person_4b1745e4db1b0e,赵献富,副主任,1949,swhgz_f4a9a18a5f20,186,分丰富的临床经验，曾多次得到省市级专家的好评。 现任科主任储为民，医学本科毕业，骨科副主任医师 外科历任正、副主任：赵献富、顾德荣、孙作岚、路仲奎、林太银、王跃 东、刘敬东、崔道满、储为民、汪从然 儿科 1949 年，县医院未专设儿科，也没有专职的儿科医生，仅能开展,high
person_01357ffc0ff703,顾德荣,副主任,1949,swhgz_f4a9a18a5f20,186,分丰富的临床经验，曾多次得到省市级专家的好评。 现任科主任储为民，医学本科毕业，骨科副主任医师 外科历任正、副主任：赵献富、顾德荣、孙作岚、路仲奎、林太银、王跃 东、刘敬东、崔道满、储为民、汪从然 儿科 1949 年，县医院未专设儿科，也没有专职的儿科医生，仅能开展,high
person_e8f09a803cf8ab,孙作岚,副主任,1949,swhgz_f4a9a18a5f20,186,分丰富的临床经验，曾多次得到省市级专家的好评。 现任科主任储为民，医学本科毕业，骨科副主任医师 外科历任正、副主任：赵献富、顾德荣、孙作岚、路仲奎、林太银、王跃 东、刘敬东、崔道满、储为民、汪从然 儿科 1949 年，县医院未专设儿科，也没有专职的儿科医生，仅能开展,high
person_b50e59f75b0f52,路仲奎,副主任,1949,swhgz_f4a9a18a5f20,186,分丰富的临床经验，曾多次得到省市级专家的好评。 现任科主任储为民，医学本科毕业，骨科副主任医师 外科历任正、副主任：赵献富、顾德荣、孙作岚、路仲奎、林太银、王跃 东、刘敬东、崔道满、储为民、汪从然 儿科 1949 年，县医院未专设儿科，也没有专职的儿科医生，仅能开展,high
person_6408453912e183,林太银,副主任,1949,swhgz_f4a9a18a5f20,186,分丰富的临床经验，曾多次得到省市级专家的好评。 现任科主任储为民，医学本科毕业，骨科副主任医师 外科历任正、副主任：赵献富、顾德荣、孙作岚、路仲奎、林太银、王跃 东、刘敬东、崔道满、储为民、汪从然 儿科 1949 年，县医院未专设儿科，也没有专职的儿科医生，仅能开展,high
person_71aebd69239df4,王跃,副主任,1949,swhgz_f4a9a18a5f20,186,分丰富的临床经验，曾多次得到省市级专家的好评。 现任科主任储为民，医学本科毕业，骨科副主任医师 外科历任正、副主任：赵献富、顾德荣、孙作岚、路仲奎、林太银、王跃 东、刘敬东、崔道满、储为民、汪从然 儿科 1949 年，县医院未专设儿科，也没有专职的儿科医生，仅能开展,high
person_a8fbe1a7fd1a9f,戴恩助,主任,,swhgz_f4a9a18a5f20,186,疗仪等设施。在小儿心肺复苏、新生儿黄疸、小儿心衰、呼吸衰竭的治疗抢救 方面积累了丰富的临床经验， 儿科历任科主任：戴恩助、吴传华、田德荣 现任科主任李红兵，医学本科毕业，儿科主治医师 妇科 县医院初建时，未设立妇产科，更无专职的妇产科医师，仅开,high
person_c42c7611ea1229,吴传华,主任,,swhgz_f4a9a18a5f20,186,疗仪等设施。在小儿心肺复苏、新生儿黄疸、小儿心衰、呼吸衰竭的治疗抢救 方面积累了丰富的临床经验， 儿科历任科主任：戴恩助、吴传华、田德荣 现任科主任李红兵，医学本科毕业，儿科主治医师 妇科 县医院初建时，未设立妇产科，更无专职的妇产科医师，仅开,high
person_c5c41677ca2369,田德荣,主任,,swhgz_f4a9a18a5f20,186,疗仪等设施。在小儿心肺复苏、新生儿黄疸、小儿心衰、呼吸衰竭的治疗抢救 方面积累了丰富的临床经验， 儿科历任科主任：戴恩助、吴传华、田德荣 现任科主任李红兵，医学本科毕业，儿科主治医师 妇科 县医院初建时，未设立妇产科，更无专职的妇产科医师，仅开,high
person_305d4c8d5c67e4,徐惠芳,副主任,2002,swhgz_f4a9a18a5f20,187,2002 年开展的无痛人流、无痛分娩的治疗项目，有效地减轻了病人痛苦，深 受广大患者的欢迎。 历任妇产科正、副主任：徐惠芳、王红雨、江绍玲 现任科主任王红雨，医疗中专毕业，妇产科主治医师 传染科 县医院建院之初，虽然未设立专门的传染科，但医院所面,high
person_3e19b37567038e,王红雨,副主任,2002,swhgz_f4a9a18a5f20,187,2002 年开展的无痛人流、无痛分娩的治疗项目，有效地减轻了病人痛苦，深 受广大患者的欢迎。 历任妇产科正、副主任：徐惠芳、王红雨、江绍玲 现任科主任王红雨，医疗中专毕业，妇产科主治医师 传染科 县医院建院之初，虽然未设立专门的传染科，但医院所面,high
person_a40344864b67eb,江绍玲,副主任,2002,swhgz_f4a9a18a5f20,187,2002 年开展的无痛人流、无痛分娩的治疗项目，有效地减轻了病人痛苦，深 受广大患者的欢迎。 历任妇产科正、副主任：徐惠芳、王红雨、江绍玲 现任科主任王红雨，医疗中专毕业，妇产科主治医师 传染科 县医院建院之初，虽然未设立专门的传染科，但医院所面,high
person_1464290d9eef36,刘志高,主任,1982,swhgz_f4a9a18a5f20,188,炎的抢救方面积累了十分丰富 的临床经验。是年收治病人521 人。床位使用率在全市县级医院名列前茅。 历任传染科主任：刘志高、王宇 现任科主任崔国勇，医学本科毕业，传染科主治医师 皮肤科 皮肤科于1982 年成立，专设皮肤科门诊，在大外科,high
person_7eec75a05b7157,王宇,主任,1982,swhgz_f4a9a18a5f20,188,炎的抢救方面积累了十分丰富 的临床经验。是年收治病人521 人。床位使用率在全市县级医院名列前茅。 历任传染科主任：刘志高、王宇 现任科主任崔国勇，医学本科毕业，传染科主治医师 皮肤科 皮肤科于1982 年成立，专设皮肤科门诊，在大外科,high
person_1281c246128010,魏正乾,主任,1986,swhgz_f4a9a18a5f20,190,任务。 近年来，连硬外麻醉病人术后镇痛泵的临床使用，有效地减轻了病人的痛 苦，受到广大患者的欢迎。 首任麻醉科主任：魏正乾 现任麻醉科主任储六生，医学本科毕业，主治医师 老干部病房 根据县委、县政府的要求，医院于1986 年成立老,high
person_7a0b02c98ea9d5,董其霭,副主任,1961,swhgz_f4a9a18a5f20,193,8861 人次、生化检查99014 人次、细菌学检查4515 人次、免疫检查37193 人次。 历任检验科正、副主任：董其霭、魏凤华、倪代惠、储江流 现任科主任：程金汉，检验专业中专毕业，检验技师 五、医学影像 放射科 放射科成立于1961 年，当时配置,high
person_36e139e45d241f,魏凤华,副主任,1961,swhgz_f4a9a18a5f20,193,8861 人次、生化检查99014 人次、细菌学检查4515 人次、免疫检查37193 人次。 历任检验科正、副主任：董其霭、魏凤华、倪代惠、储江流 现任科主任：程金汉，检验专业中专毕业，检验技师 五、医学影像 放射科 放射科成立于1961 年，当时配置,high
person_e02f94c7032b01,倪代惠,副主任,1961,swhgz_f4a9a18a5f20,193,8861 人次、生化检查99014 人次、细菌学检查4515 人次、免疫检查37193 人次。 历任检验科正、副主任：董其霭、魏凤华、倪代惠、储江流 现任科主任：程金汉，检验专业中专毕业，检验技师 五、医学影像 放射科 放射科成立于1961 年，当时配置,high
person_906a9bf092a932,储江流,副主任,1961,swhgz_f4a9a18a5f20,193,8861 人次、生化检查99014 人次、细菌学检查4515 人次、免疫检查37193 人次。 历任检验科正、副主任：董其霭、魏凤华、倪代惠、储江流 现任科主任：程金汉，检验专业中专毕业，检验技师 五、医学影像 放射科 放射科成立于1961 年，当时配置,high
person_b2648957d3f31f,程金汉,主任,1961,swhgz_f4a9a18a5f20,193,检查4515 人次、免疫检查37193 人次。 历任检验科正、副主任：董其霭、魏凤华、倪代惠、储江流 现任科主任：程金汉，检验专业中专毕业，检验技师 五、医学影像 放射科 放射科成立于1961 年，当时配置有30mAX 光机一台，由王明绪 岳西卫生社区,high
person_2e0e835f5a8c99,检验技师,主任,1961,swhgz_f4a9a18a5f20,193,检查4515 人次、免疫检查37193 人次。 历任检验科正、副主任：董其霭、魏凤华、倪代惠、储江流 现任科主任：程金汉，检验专业中专毕业，检验技师 五、医学影像 放射科 放射科成立于1961 年，当时配置有30mAX 光机一台，由王明绪 岳西卫生社区,high
person_34478e77dda81d,王明绪,主任,2002,swhgz_f4a9a18a5f20,194,道系造影等。 2002 年放射科透视4833 人次、摄片13081 人次、造影检查1543 人次。 首任放射科主任：王明绪。 现任放射科主任吴夕才，放射科主治医师。 CT 室 2001 年医院投资200 多万元购置全新东大阿尔派—2,high
person_2a895237222078,许淑宗,主任,,swhgz_f4a9a18a5f20,196,值班制，日配发300 张处方左右。门诊药房现有工作人员5 人。其中 药剂师4 人，药剂士1 人。 历任门诊药房主任：许淑宗、蒋凌云、王仿成、陈家珍 现任主任徐鹏，药剂专科毕业，执业药师 住院药房 负责住院病人的配发药工作，实行24 小时值班制，日配发25,high
person_92e68dec22b545,蒋凌云,主任,,swhgz_f4a9a18a5f20,196,值班制，日配发300 张处方左右。门诊药房现有工作人员5 人。其中 药剂师4 人，药剂士1 人。 历任门诊药房主任：许淑宗、蒋凌云、王仿成、陈家珍 现任主任徐鹏，药剂专科毕业，执业药师 住院药房 负责住院病人的配发药工作，实行24 小时值班制，日配发25,high
person_63b3c3ef36e1e2,王仿成,主任,,swhgz_f4a9a18a5f20,196,值班制，日配发300 张处方左右。门诊药房现有工作人员5 人。其中 药剂师4 人，药剂士1 人。 历任门诊药房主任：许淑宗、蒋凌云、王仿成、陈家珍 现任主任徐鹏，药剂专科毕业，执业药师 住院药房 负责住院病人的配发药工作，实行24 小时值班制，日配发25,high
person_eaf95c59ef8de4,陈家珍,主任,,swhgz_f4a9a18a5f20,196,值班制，日配发300 张处方左右。门诊药房现有工作人员5 人。其中 药剂师4 人，药剂士1 人。 历任门诊药房主任：许淑宗、蒋凌云、王仿成、陈家珍 现任主任徐鹏，药剂专科毕业，执业药师 住院药房 负责住院病人的配发药工作，实行24 小时值班制，日配发25,high
person_23535c0dcaa285,崔勇军,主任,1955,swhgz_f4a9a18a5f20,199,职医师2 人。 具有副高职称者1 人、中级职称1 人、初级职称者2 人。 原科室负责人：吴传俊、王宇 现任科主任：崔勇军，医学专科毕业，医师 理疗室 1955 年医院开设了针灸室。随着医院的发展，购置了电针仪、 红外照射仪、超声治疗仪、TDP 照射灯,high
person_8f44ea13cc6baf,医师,主任,1955,swhgz_f4a9a18a5f20,199,职医师2 人。 具有副高职称者1 人、中级职称1 人、初级职称者2 人。 原科室负责人：吴传俊、王宇 现任科主任：崔勇军，医学专科毕业，医师 理疗室 1955 年医院开设了针灸室。随着医院的发展，购置了电针仪、 红外照射仪、超声治疗仪、TDP 照射灯,high
person_189d7ad7d5315e,张国英,主任,民国,swhgz_f4a9a18a5f20,236,，中医科有中医5 人，中药剂5 人。其中具有高级职称者1 人， 中级职称者5 人，初级职称4 人。 历任中医科主任：张国英、蔡永昌、储厥芳 现任中医科主任：储晓玲 第三节 基层中医药 一、中医治疗 民国时期，本县人民治病全赖中医中药，,high
person_13fe36746ecebc,蔡永昌,主任,民国,swhgz_f4a9a18a5f20,236,，中医科有中医5 人，中药剂5 人。其中具有高级职称者1 人， 中级职称者5 人，初级职称4 人。 历任中医科主任：张国英、蔡永昌、储厥芳 现任中医科主任：储晓玲 第三节 基层中医药 一、中医治疗 民国时期，本县人民治病全赖中医中药，,high
person_3c839e6ccf139b,储厥芳,主任,民国,swhgz_f4a9a18a5f20,236,，中医科有中医5 人，中药剂5 人。其中具有高级职称者1 人， 中级职称者5 人，初级职称4 人。 历任中医科主任：张国英、蔡永昌、储厥芳 现任中医科主任：储晓玲 第三节 基层中医药 一、中医治疗 民国时期，本县人民治病全赖中医中药，,high
person_70c817d917dd84,储晓玲,主任,民国,swhgz_f4a9a18a5f20,236,有高级职称者1 人， 中级职称者5 人，初级职称4 人。 历任中医科主任：张国英、蔡永昌、储厥芳 现任中医科主任：储晓玲 第三节 基层中医药 一、中医治疗 民国时期，本县人民治病全赖中医中药，乡村中医不下200 人。其,high
person_c6dcb973d5cd1a,储厥芳,顾问,,swhgz_f4a9a18a5f20,254,名，因时逢机构改革人员精减，减少编制2 人）。 二、专业组织 1、《岳西县名老中医经验集》编辑委员会： 顾 问：储厥芳 陈多学 柏兴慧 主 编：储昭朗 副主编：吴保印 储著忠 崔世绪 岳西卫生社区,high
person_73d91bfc4b64c0,陈多学,顾问,,swhgz_f4a9a18a5f20,254,名，因时逢机构改革人员精减，减少编制2 人）。 二、专业组织 1、《岳西县名老中医经验集》编辑委员会： 顾 问：储厥芳 陈多学 柏兴慧 主 编：储昭朗 副主编：吴保印 储著忠 崔世绪 岳西卫生社区,high
person_86765c30b9294b,柏兴慧,顾问,,swhgz_f4a9a18a5f20,254,名，因时逢机构改革人员精减，减少编制2 人）。 二、专业组织 1、《岳西县名老中医经验集》编辑委员会： 顾 问：储厥芳 陈多学 柏兴慧 主 编：储昭朗 副主编：吴保印 储著忠 崔世绪 岳西卫生社区,high
person_966941a312719e,储昭朗,主编,,swhgz_f4a9a18a5f20,254,编制2 人）。 二、专业组织 1、《岳西县名老中医经验集》编辑委员会： 顾 问：储厥芳 陈多学 柏兴慧 主 编：储昭朗 副主编：吴保印 储著忠 崔世绪 岳西卫生社区,high
person_348f697650c052,吴保印,副主编,,swhgz_f4a9a18a5f20,254,、专业组织 1、《岳西县名老中医经验集》编辑委员会： 顾 问：储厥芳 陈多学 柏兴慧 主 编：储昭朗 副主编：吴保印 储著忠 崔世绪 岳西卫生社区,high
person_0e09cee31780d7,储著忠,副主编,,swhgz_f4a9a18a5f20,254,、专业组织 1、《岳西县名老中医经验集》编辑委员会： 顾 问：储厥芳 陈多学 柏兴慧 主 编：储昭朗 副主编：吴保印 储著忠 崔世绪 岳西卫生社区,high
person_dd4ace8ec7dc8d,崔世绪,副主编,,swhgz_f4a9a18a5f20,254,、专业组织 1、《岳西县名老中医经验集》编辑委员会： 顾 问：储厥芳 陈多学 柏兴慧 主 编：储昭朗 副主编：吴保印 储著忠 崔世绪 岳西卫生社区,high
person_51435cbfc4fca9,储著忠,主任,,swhgz_f4a9a18a5f20,255,346 编辑室主任：储著忠 编辑室副主任：张德喜 汪一江（常务） 编委：（按姓氏笔划排列） 吴保印 汪一江 宋祥林 张德喜 陶康生,high
person_0334fbbcd56954,张德喜,副主任,,swhgz_f4a9a18a5f20,255,346 编辑室主任：储著忠 编辑室副主任：张德喜 汪一江（常务） 编委：（按姓氏笔划排列） 吴保印 汪一江 宋祥林 张德喜 陶康生 崔世绪 储昭朗 储著忠 储晓,high
person_1fa5623c9bb008,汪一江,副主任,,swhgz_f4a9a18a5f20,255,346 编辑室主任：储著忠 编辑室副主任：张德喜 汪一江（常务） 编委：（按姓氏笔划排列） 吴保印 汪一江 宋祥林 张德喜 陶康生 崔世绪 储昭朗 储著忠 储晓,high
person_5df2e7838c5c1f,储厥芳,顾问,1999,swhgz_f4a9a18a5f20,255,生 崔世绪 储昭朗 储著忠 储晓玲 2、《皖岳中医杂志》编辑委员会（第一届1999 年—2001 年） 顾 问：储厥芳 陈多学 柏兴慧 主 编：储昭朗 副主编：吴保印 储著忠 编辑室主任：储著忠 编辑室副主任：汪一江 孙嘉霓 编委：（按,high
person_774914e5f9699f,陈多学,顾问,1999,swhgz_f4a9a18a5f20,255,生 崔世绪 储昭朗 储著忠 储晓玲 2、《皖岳中医杂志》编辑委员会（第一届1999 年—2001 年） 顾 问：储厥芳 陈多学 柏兴慧 主 编：储昭朗 副主编：吴保印 储著忠 编辑室主任：储著忠 编辑室副主任：汪一江 孙嘉霓 编委：（按,high
person_410a80305df6dc,柏兴慧,顾问,1999,swhgz_f4a9a18a5f20,255,生 崔世绪 储昭朗 储著忠 储晓玲 2、《皖岳中医杂志》编辑委员会（第一届1999 年—2001 年） 顾 问：储厥芳 陈多学 柏兴慧 主 编：储昭朗 副主编：吴保印 储著忠 编辑室主任：储著忠 编辑室副主任：汪一江 孙嘉霓 编委：（按,high
person_13355b1b35ad1d,储昭朗,主编,1999,swhgz_f4a9a18a5f20,255,玲 2、《皖岳中医杂志》编辑委员会（第一届1999 年—2001 年） 顾 问：储厥芳 陈多学 柏兴慧 主 编：储昭朗 副主编：吴保印 储著忠 编辑室主任：储著忠 编辑室副主任：汪一江 孙嘉霓 编委：（按姓氏笔划排列）,high
person_d99ff25bb61d1a,吴保印,副主编,1999,swhgz_f4a9a18a5f20,255,医杂志》编辑委员会（第一届1999 年—2001 年） 顾 问：储厥芳 陈多学 柏兴慧 主 编：储昭朗 副主编：吴保印 储著忠 编辑室主任：储著忠 编辑室副主任：汪一江 孙嘉霓 编委：（按姓氏笔划排列） 孙嘉霓 吴保印 汪一江 宋,high
person_e801026c0a57f4,储著忠,副主编,1999,swhgz_f4a9a18a5f20,255,医杂志》编辑委员会（第一届1999 年—2001 年） 顾 问：储厥芳 陈多学 柏兴慧 主 编：储昭朗 副主编：吴保印 储著忠 编辑室主任：储著忠 编辑室副主任：汪一江 孙嘉霓 编委：（按姓氏笔划排列） 孙嘉霓 吴保印 汪一江 宋,high
person_a52599c781e242,汪一江,副主任,,swhgz_f4a9a18a5f20,255,顾 问：储厥芳 陈多学 柏兴慧 主 编：储昭朗 副主编：吴保印 储著忠 编辑室主任：储著忠 编辑室副主任：汪一江 孙嘉霓 编委：（按姓氏笔划排列） 孙嘉霓 吴保印 汪一江 宋祥林 张德喜 陶康生 崔世绪 储昭朗 储著忠 储晓玲,high
person_81c0481283907c,孙嘉霓,副主任,,swhgz_f4a9a18a5f20,255,顾 问：储厥芳 陈多学 柏兴慧 主 编：储昭朗 副主编：吴保印 储著忠 编辑室主任：储著忠 编辑室副主任：汪一江 孙嘉霓 编委：（按姓氏笔划排列） 孙嘉霓 吴保印 汪一江 宋祥林 张德喜 陶康生 崔世绪 储昭朗 储著忠 储晓玲,high
person_3cec4909c12d89,吴同,委员,1994,swhgz_f4a9a18a5f20,309,295 岳西县卫生局工会工作委员会，程玉松任主任，副主任宋祥林，委员：吴同、 严书生、吴南日方。 1994 年召开了县卫生工会工作委员会扩大会议，组织学习了《工会法》 和《工会章程》。是,high
person_0d4fe5c2197c24,吴兴发,顾问,1979,swhgz_f4a9a18a5f20,313,、 曹仲君、杨凤仙、陈先美 19 1979-1-22 安徽省中药 学会岳西分 会理事会 蔡耀庚 顾问：吴兴发、 王达时、储厥芳、 汪炳煌、陈最驯 杨建国 钱七根 11 1986-8-18 岳西县中医 学会理事会,high
