entity_id,person_name,role_or_category,dynasty_or_period,doc_id,page_number,context_snippet,confidence
person_1e569ba95a7d44,储厥芳,顾问,,swhgz_f4a9a18a5f20,32,医技术 资源，开发岳西各享有一定医疗威望的中医名家的学术思想，成立“《岳西县 名老中医经验集》编辑委员会”。 顾问：储厥芳、柏兴惠、陈多学 主编：储昭朗 副主编：吴保印、崔世绪、储著忠 委员：宋祥林、陶康生、汪一江、张德喜、储晓玲 编辑室主任,high
person_c5d2c13df97150,柏兴惠,顾问,,swhgz_f4a9a18a5f20,32,医技术 资源，开发岳西各享有一定医疗威望的中医名家的学术思想，成立“《岳西县 名老中医经验集》编辑委员会”。 顾问：储厥芳、柏兴惠、陈多学 主编：储昭朗 副主编：吴保印、崔世绪、储著忠 委员：宋祥林、陶康生、汪一江、张德喜、储晓玲 编辑室主任,high
person_77badce1842e70,陈多学,顾问,,swhgz_f4a9a18a5f20,32,医技术 资源，开发岳西各享有一定医疗威望的中医名家的学术思想，成立“《岳西县 名老中医经验集》编辑委员会”。 顾问：储厥芳、柏兴惠、陈多学 主编：储昭朗 副主编：吴保印、崔世绪、储著忠 委员：宋祥林、陶康生、汪一江、张德喜、储晓玲 编辑室主任,high
person_24f80c8340ef7e,储昭朗,主编,,swhgz_f4a9a18a5f20,32,医疗威望的中医名家的学术思想，成立“《岳西县 名老中医经验集》编辑委员会”。 顾问：储厥芳、柏兴惠、陈多学 主编：储昭朗 副主编：吴保印、崔世绪、储著忠 委员：宋祥林、陶康生、汪一江、张德喜、储晓玲 编辑室主任：储著忠（兼）,high
person_d5bd96240b3ffd,吴保印,副主编,,swhgz_f4a9a18a5f20,32,家的学术思想，成立“《岳西县 名老中医经验集》编辑委员会”。 顾问：储厥芳、柏兴惠、陈多学 主编：储昭朗 副主编：吴保印、崔世绪、储著忠 委员：宋祥林、陶康生、汪一江、张德喜、储晓玲 编辑室主任：储著忠（兼） 副主任：汪一江（常务）、张德喜,high
person_9573b0bfd6ee82,崔世绪,副主编,,swhgz_f4a9a18a5f20,32,家的学术思想，成立“《岳西县 名老中医经验集》编辑委员会”。 顾问：储厥芳、柏兴惠、陈多学 主编：储昭朗 副主编：吴保印、崔世绪、储著忠 委员：宋祥林、陶康生、汪一江、张德喜、储晓玲 编辑室主任：储著忠（兼） 副主任：汪一江（常务）、张德喜,high
person_46e2cfd8a06288,储著忠,副主编,,swhgz_f4a9a18a5f20,32,家的学术思想，成立“《岳西县 名老中医经验集》编辑委员会”。 顾问：储厥芳、柏兴惠、陈多学 主编：储昭朗 副主编：吴保印、崔世绪、储著忠 委员：宋祥林、陶康生、汪一江、张德喜、储晓玲 编辑室主任：储著忠（兼） 副主任：汪一江（常务）、张德喜,high
person_e38faae614d5ad,宋祥林,委员,,swhgz_f4a9a18a5f20,32,中医经验集》编辑委员会”。 顾问：储厥芳、柏兴惠、陈多学 主编：储昭朗 副主编：吴保印、崔世绪、储著忠 委员：宋祥林、陶康生、汪一江、张德喜、储晓玲 编辑室主任：储著忠（兼） 副主任：汪一江（常务）、张德喜 是月，县委、县政府为加强农村中医工作先进县建设,high
person_15b9c1bbcf7b52,陶康生,委员,,swhgz_f4a9a18a5f20,32,中医经验集》编辑委员会”。 顾问：储厥芳、柏兴惠、陈多学 主编：储昭朗 副主编：吴保印、崔世绪、储著忠 委员：宋祥林、陶康生、汪一江、张德喜、储晓玲 编辑室主任：储著忠（兼） 副主任：汪一江（常务）、张德喜 是月，县委、县政府为加强农村中医工作先进县建设,high
person_43a5cca874fa7b,汪一江,委员,,swhgz_f4a9a18a5f20,32,中医经验集》编辑委员会”。 顾问：储厥芳、柏兴惠、陈多学 主编：储昭朗 副主编：吴保印、崔世绪、储著忠 委员：宋祥林、陶康生、汪一江、张德喜、储晓玲 编辑室主任：储著忠（兼） 副主任：汪一江（常务）、张德喜 是月，县委、县政府为加强农村中医工作先进县建设,high
person_e68b2765dba5d7,张德喜,委员,,swhgz_f4a9a18a5f20,32,中医经验集》编辑委员会”。 顾问：储厥芳、柏兴惠、陈多学 主编：储昭朗 副主编：吴保印、崔世绪、储著忠 委员：宋祥林、陶康生、汪一江、张德喜、储晓玲 编辑室主任：储著忠（兼） 副主任：汪一江（常务）、张德喜 是月，县委、县政府为加强农村中医工作先进县建设,high
person_7888fb98cdec5f,储晓玲,委员,,swhgz_f4a9a18a5f20,32,中医经验集》编辑委员会”。 顾问：储厥芳、柏兴惠、陈多学 主编：储昭朗 副主编：吴保印、崔世绪、储著忠 委员：宋祥林、陶康生、汪一江、张德喜、储晓玲 编辑室主任：储著忠（兼） 副主任：汪一江（常务）、张德喜 是月，县委、县政府为加强农村中医工作先进县建设,high
