file_name,size_mb,extension,reader,read_status,page_count,pdf_kind,text_chars,text_pages,image_pages,region_guess,period_terms,genre_tags,outline_count
[乾隆]庐州卫志（卷三）.pdf,6.47,.pdf,PyMuPDF,ok,97,scanned_image_pdf_no_text_layer,0,0,96,安徽,乾隆,地方文献/杂志类,0
[乾隆]庐州卫志（卷六）.pdf,7.54,.pdf,PyMuPDF,ok,91,scanned_image_pdf_no_text_layer,0,0,90,安徽,乾隆,地方文献/杂志类,0
[乾隆]庐州卫志（卷四、卷五）.pdf,8.26,.pdf,PyMuPDF,ok,99,scanned_image_pdf_no_text_layer,0,0,98,安徽,乾隆,地方文献/杂志类,0
[乾隆]庐州卫志（卷首、卷一、卷二）.pdf,10.37,.pdf,PyMuPDF,ok,152,scanned_image_pdf_no_text_layer,0,0,151,安徽,乾隆,地方文献/杂志类,0
[光绪]无锡斗门小志.pdf,5.51,.pdf,PyMuPDF,ok,78,scanned_image_pdf_no_text_layer,0,0,77,江苏,光绪,乡镇村里志,0
[光绪]重修安徽通志总目录.pdf,0.57,.pdf,PyMuPDF,ok,15,scanned_image_pdf_no_text_layer,0,0,15,安徽,光绪,省志/通志|方志目录研究,0
[光绪]重修安徽通志（卷一一六至卷一四九）.pdf,26.29,.pdf,PyMuPDF,ok,385,scanned_image_pdf_no_text_layer,0,0,385,安徽,光绪,省志/通志,0
[光绪]重修安徽通志（卷一五〇至卷一八二）.pdf,31.8,.pdf,PyMuPDF,ok,388,scanned_image_pdf_no_text_layer,0,0,388,安徽,光绪,省志/通志,0
[光绪]重修安徽通志（卷一八三至卷二二三）.pdf,38.99,.pdf,PyMuPDF,ok,409,scanned_image_pdf_no_text_layer,0,0,409,安徽,光绪,省志/通志,0
[光绪]重修安徽通志（卷一至卷三十八）.pdf,33.75,.pdf,PyMuPDF,ok,395,scanned_image_pdf_no_text_layer,0,0,395,安徽,光绪,省志/通志,0
[光绪]重修安徽通志（卷三二八至卷三五〇 补遗十.pdf,33.82,.pdf,PyMuPDF,ok,390,scanned_image_pdf_no_text_layer,0,0,390,安徽,光绪,省志/通志,0
[光绪]重修安徽通志（卷三十九至卷八十一）.pdf,33.97,.pdf,PyMuPDF,ok,385,scanned_image_pdf_no_text_layer,0,0,385,安徽,光绪,省志/通志,0
[光绪]重修安徽通志（卷二九五至卷三二七）.pdf,35.75,.pdf,PyMuPDF,ok,396,scanned_image_pdf_no_text_layer,0,0,396,安徽,光绪,省志/通志,0
[光绪]重修安徽通志（卷二二四至卷二六二）.pdf,37.04,.pdf,PyMuPDF,ok,405,scanned_image_pdf_no_text_layer,0,0,405,安徽,光绪,省志/通志,0
[光绪]重修安徽通志（卷二六三至卷二九四）.pdf,33.42,.pdf,PyMuPDF,ok,383,scanned_image_pdf_no_text_layer,0,0,383,安徽,光绪,省志/通志,0
[光绪]重修安徽通志（卷八十二至卷一一五）.pdf,37.69,.pdf,PyMuPDF,ok,397,scanned_image_pdf_no_text_layer,0,0,397,安徽,光绪,省志/通志,0
[崇祯]松江府志（上、下册）.pdf,47.09,.pdf,PyMuPDF,ok,1546,mostly_scanned_with_some_text,91,1,1538,上海,崇祯,府州县区市志,1542
[民国]兴化县小通志.pdf,8.7,.pdf,PyMuPDF,ok,193,scanned_image_pdf_no_text_layer,0,0,193,江苏,民国,省志/通志,0
[民国]嘉定疁东志 [清]娄塘志·马陆志·石冈广福.pdf,31.13,.pdf,PyMuPDF,ok,703,scanned_image_pdf_no_text_layer,0,0,702,上海,民国|清,地方文献/杂志类,0
[民国]杏花村续志.pdf,8.34,.pdf,PyMuPDF,ok,154,scanned_image_pdf_no_text_layer,0,0,151,未判定/综合,民国,地方文献/杂志类,0
上海军事志.pdf,27.25,.pdf,PyMuPDF,ok,636,scanned_image_pdf_no_text_layer,0,0,635,上海,,军事公安审判,4
上海地方志概述.pdf,3.37,.pdf,PyMuPDF,ok,100,mostly_scanned_with_some_text,308,2,98,跨省/综合,,地方文献/杂志类,20
上海小志 上海乡土志 夷患备尝记.pdf,2.76,.pdf,PyMuPDF,ok,164,scanned_image_pdf_no_text_layer,0,0,164,上海,,乡镇村里志,0
上海市区方言志.pdf,15.07,.pdf,PyMuPDF,ok,595,scanned_image_pdf_no_text_layer,0,0,595,上海,,方言民俗风土,0
上海方志提要.pdf,31.01,.pdf,PyMuPDF,ok,716,mostly_scanned_with_some_text,20248,33,683,跨省/综合,,方志目录研究,1439
上海方志资料考录.pdf,7.92,.pdf,PyMuPDF,ok,536,scanned_image_pdf_no_text_layer,0,0,536,跨省/综合,,方志目录研究,0
上海方志通考.pdf,46.99,.pdf,PyMuPDF,ok,483,mostly_scanned_with_some_text,92,1,482,跨省/综合,,方志目录研究,444
上海越剧志.pdf,33.05,.pdf,PyMuPDF,ok,469,scanned_image_pdf_no_text_layer,0,0,469,上海,,地方文献/杂志类,425
上海通志馆期刊 第一卷（1-4期）.pdf,29.86,.pdf,PyMuPDF,ok,1188,scanned_image_pdf_no_text_layer,0,0,1188,跨省/综合,,省志/通志,4
