doc_id,source_file_name,source_path_current,size_bytes,page_count,pdf_kind
swhgz_b223221c4b63,[乾隆]庐州卫志（卷三）.pdf,<LOCAL_SOURCE_ROOT>/[乾隆]庐州卫志（卷三）.pdf,6787582,97,scanned_image_pdf_no_text_layer
swhgz_3c1ee20fbd50,[乾隆]庐州卫志（卷六）.pdf,<LOCAL_SOURCE_ROOT>/[乾隆]庐州卫志（卷六）.pdf,7909741,91,scanned_image_pdf_no_text_layer
swhgz_d32a5fdc156c,[乾隆]庐州卫志（卷四、卷五）.pdf,<LOCAL_SOURCE_ROOT>/[乾隆]庐州卫志（卷四、卷五）.pdf,8660312,99,scanned_image_pdf_no_text_layer
swhgz_7d7c8b11239f,[乾隆]庐州卫志（卷首、卷一、卷二）.pdf,<LOCAL_SOURCE_ROOT>/[乾隆]庐州卫志（卷首、卷一、卷二）.pdf,10874820,152,scanned_image_pdf_no_text_layer
swhgz_80b4d3fb7c2f,[光绪]无锡斗门小志.pdf,<LOCAL_SOURCE_ROOT>/[光绪]无锡斗门小志.pdf,5779854,78,scanned_image_pdf_no_text_layer
swhgz_34aaf204b2c3,[光绪]重修安徽通志总目录.pdf,<LOCAL_SOURCE_ROOT>/[光绪]重修安徽通志总目录.pdf,601930,15,scanned_image_pdf_no_text_layer
swhgz_9c6ab1121e86,[光绪]重修安徽通志（卷一一六至卷一四九）.pdf,<LOCAL_SOURCE_ROOT>/[光绪]重修安徽通志（卷一一六至卷一四九）.pdf,27563310,385,scanned_image_pdf_no_text_layer
swhgz_d859501fbab5,[光绪]重修安徽通志（卷一五〇至卷一八二）.pdf,<LOCAL_SOURCE_ROOT>/[光绪]重修安徽通志（卷一五〇至卷一八二）.pdf,33347236,388,scanned_image_pdf_no_text_layer
swhgz_a99a6d750575,[光绪]重修安徽通志（卷一八三至卷二二三）.pdf,<LOCAL_SOURCE_ROOT>/[光绪]重修安徽通志（卷一八三至卷二二三）.pdf,40885265,409,scanned_image_pdf_no_text_layer
swhgz_010853fe1079,[光绪]重修安徽通志（卷一至卷三十八）.pdf,<LOCAL_SOURCE_ROOT>/[光绪]重修安徽通志（卷一至卷三十八）.pdf,35391171,395,scanned_image_pdf_no_text_layer
swhgz_b660f440b903,[光绪]重修安徽通志（卷三二八至卷三五〇 补遗十.pdf,<LOCAL_SOURCE_ROOT>/[光绪]重修安徽通志（卷三二八至卷三五〇 补遗十.pdf,35459623,390,scanned_image_pdf_no_text_layer
swhgz_396a8fd1f546,[光绪]重修安徽通志（卷三十九至卷八十一）.pdf,<LOCAL_SOURCE_ROOT>/[光绪]重修安徽通志（卷三十九至卷八十一）.pdf,35621655,385,scanned_image_pdf_no_text_layer
swhgz_58fb03b924e2,[光绪]重修安徽通志（卷二九五至卷三二七）.pdf,<LOCAL_SOURCE_ROOT>/[光绪]重修安徽通志（卷二九五至卷三二七）.pdf,37489245,396,scanned_image_pdf_no_text_layer
swhgz_35461a41179d,[光绪]重修安徽通志（卷二二四至卷二六二）.pdf,<LOCAL_SOURCE_ROOT>/[光绪]重修安徽通志（卷二二四至卷二六二）.pdf,38835630,405,scanned_image_pdf_no_text_layer
swhgz_4380a5ed2897,[光绪]重修安徽通志（卷二六三至卷二九四）.pdf,<LOCAL_SOURCE_ROOT>/[光绪]重修安徽通志（卷二六三至卷二九四）.pdf,35040915,383,scanned_image_pdf_no_text_layer
swhgz_bab7e699defa,[光绪]重修安徽通志（卷八十二至卷一一五）.pdf,<LOCAL_SOURCE_ROOT>/[光绪]重修安徽通志（卷八十二至卷一一五）.pdf,39520620,397,scanned_image_pdf_no_text_layer
swhgz_d305d807f660,[崇祯]松江府志（上、下册）.pdf,<LOCAL_SOURCE_ROOT>/[崇祯]松江府志（上、下册）.pdf,49380180,1546,mostly_scanned_with_some_text
swhgz_ee2fb3e7a006,[民国]兴化县小通志.pdf,<LOCAL_SOURCE_ROOT>/[民国]兴化县小通志.pdf,9121814,193,scanned_image_pdf_no_text_layer
swhgz_64b66922b251,[民国]嘉定疁东志 [清]娄塘志·马陆志·石冈广福.pdf,<LOCAL_SOURCE_ROOT>/[民国]嘉定疁东志 [清]娄塘志·马陆志·石冈广福.pdf,32641250,703,scanned_image_pdf_no_text_layer
swhgz_2b8dea2e8261,[民国]杏花村续志.pdf,<LOCAL_SOURCE_ROOT>/[民国]杏花村续志.pdf,8746870,154,scanned_image_pdf_no_text_layer
swhgz_b94ea7900eb8,上海军事志.pdf,<LOCAL_SOURCE_ROOT>/上海军事志.pdf,28576292,636,scanned_image_pdf_no_text_layer
swhgz_56f4b0d92bf6,上海地方志概述.pdf,<LOCAL_SOURCE_ROOT>/上海地方志概述.pdf,3535410,100,mostly_scanned_with_some_text
swhgz_a7b06136a24b,上海小志 上海乡土志 夷患备尝记.pdf,<LOCAL_SOURCE_ROOT>/上海小志 上海乡土志 夷患备尝记.pdf,2896758,164,scanned_image_pdf_no_text_layer
swhgz_d50b509459de,上海市区方言志.pdf,<LOCAL_SOURCE_ROOT>/上海市区方言志.pdf,15803831,595,scanned_image_pdf_no_text_layer
swhgz_086c7424af08,上海方志提要.pdf,<LOCAL_SOURCE_ROOT>/上海方志提要.pdf,32511616,716,mostly_scanned_with_some_text
swhgz_194d53ffb449,上海方志资料考录.pdf,<LOCAL_SOURCE_ROOT>/上海方志资料考录.pdf,8308342,536,scanned_image_pdf_no_text_layer
